Freguesia,women_man,man,women
Ajuda,16.45,15.42,17.27
Alcântara,26.94,26.86,27.0
Alvalade ,42.99,45.33,41.3
Areeiro,44.11,46.0,42.7
Arroios,31.93,31.12,32.61
Avenidas Novas,49.3,52.62,46.8
Beato,17.51,16.88,18.05
Belém,47.28,49.82,45.32
Benfica,30.02,29.28,30.59
Campo de Ourique,34.15,35.06,33.5
Campolide,25.82,24.81,26.74
Carnide,36.48,35.7,37.14
Estrela,39.96,42.61,37.89
Lumiar,54.22,53.52,54.79
Marvila,9.67,8.42,10.76
Misericórdia,29.84,30.53,29.25
Olivais,22.37,21.37,23.19
Parque das Nações,52.82,52.2,53.39
Penha de França,23.08,22.33,23.66
Santa Clara,20.66,19.18,21.92
Santa Maria Maior,20.95,20.63,21.27
Santo António,41.31,42.2,40.62
São Domingos de Benfica,47.93,49.29,46.87
São Vincente,21.95,21.02,22.69
