,FREGUESIA,Shape__Area,Shape__Length,DESIGNACAO
0,Belém,2793.5048828125,229.277260066948,Jardim Pulido Garcia
1,Lumiar,16934.588378906297,1433.80304232112,Jardim Professor Francisco Caldeira Cabral
2,Santa Clara,24805.512207031297,677.338049158171,Jardim de Santa Clara - Quinta de Santa Clara
3,São Domingos de Benfica,384966.68652343797,3851.58053023633,Jardim Zoológico
4,Santa Maria de Olivais,151007.680664063,1940.80715101322,Viveiro da Quinta Conde Arcos
5,São Domingos de Benfica,6826.53173828125,398.358042259766,Jardim da Rua Inocêncio Francisco da Silva
6,Arroios,33071.763671875,1308.49234186061,Jardim Braamcamp Freire - Jardim do Campo Santana
7,Alvalade,1885.98583984375,171.06359137319401,Miradouro Eduardo Noronha
8,Areeiro,4267.2685546875,377.78887171637496,Jardim Gomes de Amorim - Casa da moeda
9,Benfica,783850.970703125,6334.61866340459,PFM: Mata de São Domingos de Benfica
10,Lumiar,6677.8466796875,445.043496438673,Jardim Prof. António de Sousa Franco - Jardim da Urbanização da Aldeia de Telheiras
11,Campolide,8773.39794921875,1656.78458804008,Vertente Este do Aqueduto das Águas Livres (Junto ao Jardim do Aqueduto das Águas Livres)
12,Campolide,9167.775390625,510.523171694356,Jardim da Bela-Flor
13,Arroios,2508.2763671875,237.627707459543,Jardim dos Sabores
14,Santa Maria de Olivais,10634.3310546875,519.5041117771531,Jardim Maria de Lourdes Sá Teixeira
15,Santa Clara,8660.009765625,587.424773703784,Jardim Maria da Luz Ponces de Carvalho
16,Santa Clara,369961.771972656,5288.428386213521,Parque Vale Grande - Parque Oeste
17,Marvila,111935.14453125,2393.7355350258604,Parque do Vale Fundão
18,Carnide,26045.251953125,1414.0446274604699,Jardim da Alameda Roentgen
19,São Domingos de Benfica,410673.58105468797,3039.65109512541,PFM: Parque Recreativo do Calhau
20,Amadora,21816.052734375,1197.0988380670099,Jardim Adão Barata
21,Santa Maria de Olivais,28697.915527343797,1071.91227244753,Quinta Pedagógica dos Olivais
22,Santa Maria de Olivais,137273.405761719,2187.0540201214603,Parque do Vale do Silêncio
23,São Vicente,2198.2568359375,183.687966214676,Jardim Augusto Gil / Jardim da Graça
