freguesia,women_man,man,women
Ajuda,15.54,17.71,13.46
Alcântara,11.39,12.71,10.18
Alvalade ,9.52,9.9,9.17
Areeiro,9.58,10.81,8.43
Arroios,12.23,13.98,10.44
Avenidas Novas,9.16,9.75,8.6
Beato,16.57,18.42,14.7
Belém,8.42,8.95,7.9
Benfica,13.36,14.97,11.88
Campo de Ourique,10.73,11.61,9.94
Campolide,12.56,14.12,10.98
Carnide,12.39,14.54,10.33
Estrela,10.35,11.24,9.47
Lumiar,8.01,8.56,7.49
Marvila,16.72,19.39,14.09
Misericórdia,12.62,12.91,12.33
Olivais,12.84,14.62,11.04
Parque das Nações,8.33,8.34,8.31
Penha de França,13.09,14.92,11.32
Santa Clara,17.64,21.12,14.29
Santa Maria Maior,13.83,14.43,13.01
Santo António,10.37,10.72,10.03
São Domingos de Benfica,8.78,9.19,8.41
São Vincente,13.4,14.62,12.23
